Specific_Name,UUID,Name (en),Name_Similarity,Year_Match,Unit_Match,Final_Score
Lehmbauplatte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmfarbe,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehm-Klebe- und Haftmörtel,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmputz mit CL-Nachweis,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmschüttung granuliert,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmstein,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Stampflehmwand,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Lehmschüttung granuliert mit CL-Nachweis ,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Leichtlehm (Stroh-Lehm-Gemisch),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Leichtlehmputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.1777852016195106,1,1,0.37111408064780427
Magnesiaestrich / Steinholzestrich,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
PE Weichschaum,fc1c6f12-1e04-4c51-9836-81a4d7743528,Drinking water pipe PE X-Alu-PE X,0.28341784093581884,1,1,0.41336713637432754
PE-Drainageplatten,fc1c6f12-1e04-4c51-9836-81a4d7743528,Drinking water pipe PE X-Alu-PE X,0.28341784093581884,1,1,0.41336713637432754
PVC-Dachbahnen,658b2d08-fd24-4d43-a469-203d594b2278,PVC Plastisol,0.2814663709813363,1,1,0.41258654839253456
Schafwolle (mit Flammschutzmittel),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schafwolle (ohne Zusatzstoffe),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schaumglasgranulat Schüttung,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schilfrohrdämmmatte,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Schilfrohrmatte (Putzträger),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Splittschüttung mineral. geb.,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Splittschüttung mineral. geb.,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Splittschüttung mineral. geb.,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Wood-Plastic-Composites,432e4b39-301e-4154-ac8a-ac635d6c36ad,Plastic profile EPDM,0.2744626930691231,1,1,0.40978507722764923
