Specific_Name,Matched_Generic_Name,Generic_UUID,Score,Normalized_Score
Blähperlit-Platten,Kraft paper,b1ea7c10-4471-4485-95bf-7dc0a00025b6,0.3213152587413788,0.09678144293934594
Blähperlit-Platten,Kraft paper,b1ea7c10-4471-4485-95bf-7dc0a00025b6,0.3213152587413788,0.09678144293934594
Blähperlit-Platten,Kraft paper,b1ea7c10-4471-4485-95bf-7dc0a00025b6,0.3213152587413788,0.09678144293934594
DFF: Alu-Kunststoff-Komposit [kg/m² Rahmen],"Lime (CaO, Finelime)",d63868d0-5a54-40fd-ad33-5eee2b0228e1,0.4213005602359772,0.3137488300239224
DFF: Alu-Kunststoff-Komposit [kg/m² Rahmen],"Lime (CaO, Finelime)",d1d6f54d-9709-4302-8276-fdb7d06801fd,0.4213005602359772,0.3137488300239224
DFF: Alu-Kunststoff-Komposit [kg/m² Rahmen],"Lime (CaO, Finelime)",d1d6f54d-9709-4302-8276-fdb7d06801fd,0.4213005602359772,0.3137488300239224
DFF: Kunststoffrahmen PVC  [kg/m² Rahmen],PVC Plastisol,0e39587e-8c05-4a8e-80b5-bb9a57bbe164,0.41536203026771545,0.30086226258773974
DFF: Kunststoffrahmen PVC  [kg/m² Rahmen],PVC Plastisol,0e39587e-8c05-4a8e-80b5-bb9a57bbe164,0.41536203026771545,0.30086226258773974
DFF: Kunststoffrahmen PVC  [kg/m² Rahmen],PVC Plastisol,0e39587e-8c05-4a8e-80b5-bb9a57bbe164,0.41536203026771545,0.30086226258773974
Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],CR profile (chloroprene rubber),208395ce-85db-4ec3-ab24-8e5920f58077,0.3392283320426941,0.13565268351915094
Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],CR profile (chloroprene rubber),208395ce-85db-4ec3-ab24-8e5920f58077,0.3392283320426941,0.13565268351915094
Kunststoffrahmen PVC mit Aludeckschale [kg/m² Rahmen],CR profile (chloroprene rubber),208395ce-85db-4ec3-ab24-8e5920f58077,0.3392283320426941,0.13565268351915094
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen],Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.37565499544143677,0.21469828181903253
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen],Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.37565499544143677,0.21469828181903253
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen],Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.37565499544143677,0.21469828181903253
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ",Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.34013810753822327,0.13762688981895596
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ",Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.34013810753822327,0.13762688981895596
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ",Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.34013810753822327,0.13762688981895596
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ",Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.38169631361961365,0.22780789893346814
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ",Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.38169631361961365,0.22780789893346814
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ",Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.38169631361961365,0.22780789893346814
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ",Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.32324472069740295,0.1009683615445799
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ",Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.32324472069740295,0.1009683615445799
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ",Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.32324472069740295,0.1009683615445799
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen] ohne HSM,Use - 1 kWh of final energy from gas low-temperature (according to GEG),a0318d13-5658-4f05-bdf6-a2c2ce410e04,0.3642835021018982,0.1900222228358765
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen] ohne HSM,Use - 1 kWh of final energy from gas low-temperature (according to GEG),e7f3ae4f-5a85-41ac-9f47-5a5afa2e2312,0.3642835021018982,0.1900222228358765
DFF: Alu-Holz-Komposit-Rahmen [kg/m² Rahmen] ohne HSM,Use - 1 kWh of final energy from gas low-temperature (according to EnEV),e58a3c28-4818-43e3-9e72-f08267926613,0.35397425293922424,0.16765122609742025
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.33755019307136536,0.13201113398805647
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.33755019307136536,0.13201113398805647
"Holzrahmen Fichte mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.33755019307136536,0.13201113398805647
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.36740782856941223,0.19680198886070893
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.36740782856941223,0.19680198886070893
"Holzrahmen Lärche mit Aludeckschale [kg/m² Rahmen] t=0,088 ohne HSM",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.36740782856941223,0.19680198886070893
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM",Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.3176037073135376,0.0887274029625576
"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM",Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.3176037073135376,0.0887274029625576
