Specific_Name,Matched_Generic_Name,Generic_UUID,Score
Lehmbauplatte,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.45384156703948975
Lehmfarbe,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.32279980182647705
Lehmfarbe,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.32279980182647705
Lehmfarbe,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.32279980182647705
Lehm-Klebe- und Haftmörtel,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.44882526993751526
Lehm-Klebe- und Haftmörtel,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.44882526993751526
Lehm-Klebe- und Haftmörtel,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.44882526993751526
Lehmputz,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.38760635256767273
Lehmputz,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.38760635256767273
Lehmputz,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.38760635256767273
Lehmputz mit CL-Nachweis,Chlorodifluoromethane (R22),c3d4882b-ee25-4595-9b95-01a318e72a44,0.3326941728591919
Lehmputz mit CL-Nachweis,Chlorodifluoromethane (R22),c3d4882b-ee25-4595-9b95-01a318e72a44,0.3326941728591919
Lehmputz mit CL-Nachweis,Chlorodifluoromethane (R22),c3d4882b-ee25-4595-9b95-01a318e72a44,0.3326941728591919
Lehmschüttung granuliert,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.534087061882019
Lehmschüttung granuliert,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.534087061882019
Lehmschüttung granuliert,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.534087061882019
Lehmstein,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.34441080689430237
Lehmstein,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.34441080689430237
Lehmstein,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.34441080689430237
Stampflehmwand,"PE foil, dimpled",0dbca1ff-d043-408f-9511-6aeddf8e5f70,0.3738071024417877
Stampflehmwand,"PE foil, dimpled",0dbca1ff-d043-408f-9511-6aeddf8e5f70,0.3738071024417877
Stampflehmwand,"PE foil, dimpled",0dbca1ff-d043-408f-9511-6aeddf8e5f70,0.3738071024417877
Lehmschüttung granuliert mit CL-Nachweis ,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.3906179666519165
Lehmschüttung granuliert mit CL-Nachweis ,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.3906179666519165
Lehmschüttung granuliert mit CL-Nachweis ,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.3906179666519165
Leichtlehm (Stroh-Lehm-Gemisch),eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.47252577543258667
Leichtlehm (Stroh-Lehm-Gemisch),eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.47252577543258667
Leichtlehm (Stroh-Lehm-Gemisch),eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.47252577543258667
Leichtlehmputz,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.36290761828422546
Leichtlehmputz,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.36290761828422546
Leichtlehmputz,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.36290761828422546
"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]","Cork slab, 6 mm (generic)",4116031f-9ee7-4ac0-93e7-972c4b2de8a0,0.4269481897354126
"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]","Cork slab, 6 mm (generic)",4116031f-9ee7-4ac0-93e7-972c4b2de8a0,0.4269481897354126
"Lichtkuppel Aufsatzkranz, PP Schürze 30cm [kg/lfm]","Cork slab, 6 mm (generic)",4116031f-9ee7-4ac0-93e7-972c4b2de8a0,0.4269481897354126
Magnesiaestrich / Steinholzestrich,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.4377911686897278
Magnesiaestrich / Steinholzestrich,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.4377911686897278
Magnesiaestrich / Steinholzestrich,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.4377911686897278
PE Weichschaum,Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.3954356908798218
PE Weichschaum,Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.3954356908798218
PE Weichschaum,Linoleum,c3d7aef9-38a6-4d2a-a77f-2eee25461482,0.3954356908798218
PE-Drainageplatten,Sewer pipe PE-HD,cd5b784e-497d-4c76-abbd-d66867e1e986,0.6404778957366943
PE-Drainageplatten,Sewer pipe PE-HD,cd5b784e-497d-4c76-abbd-d66867e1e986,0.6404778957366943
PE-Drainageplatten,Sewer pipe PE-HD,cd5b784e-497d-4c76-abbd-d66867e1e986,0.6404778957366943
