unmapped_generic_UUID,unmapped_generic_name,tbs_product_UUID,tbs_product_name,Name_Similarity,unmapped_generic_category,tbs_category_name,Category_Similarity,tbs_EOL_Scenario_Unbuilt_Real,tbs_EOL_Scenario_Unbuilt_Potential,tbs_EOL_Scenario_Technology_Factor,Final_Score
e1c07a42-7835-415c-8e08-3b4b0312d15e,"Nutzung - Gas Wärmepumpe Luft (70 kW, 7 °C, entspr. EnEV)",601af947-1f14-474d-8233-780715a12268,Einblasdämmung Mineralwolle Rho 50 kg/m³,0.361,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',Mineralwolle Glaswolle,0.309,Dep-,SV,0.75,0.34
e1c07a42-7835-415c-8e08-3b4b0312d15e,"Nutzung - Gas Wärmepumpe Luft (70 kW, 7 °C, entspr. EnEV)",,Asphalttragschicht - Hochbau,0.327,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',Asphalt (Hochbau),0.292,Dep+,CL+,0.75,0.313
e1c07a42-7835-415c-8e08-3b4b0312d15e,"Nutzung - Gas Wärmepumpe Luft (70 kW, 7 °C, entspr. EnEV)",,"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM",0.324,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',"Holz-Alu-Rahmen, Nachweis kein HSM",0.275,RC-,RC+,0.75,0.305
e1875cbe-23ad-4800-b40d-ca36b9baab6a,EPDM Schaum (Rohrisolierung),76312ca6-3ec4-4a40-a96e-fdda2765e049,Epoxidharzmörtel,0.441,'Gebäudetechnik' / 'Heizung' / 'Wärmeverteilung und Abgabe',"Kleber (nicht-mineralisch: Kunstharzkleber,…)",0.336,EV-,EV-,0.0,0.399
e1875cbe-23ad-4800-b40d-ca36b9baab6a,EPDM Schaum (Rohrisolierung),,Schaumglasgranulat Schüttung,0.371,'Gebäudetechnik' / 'Heizung' / 'Wärmeverteilung und Abgabe',Mineralische Dämmschüttung,0.366,SV,CL-,0.75,0.369
e1875cbe-23ad-4800-b40d-ca36b9baab6a,EPDM Schaum (Rohrisolierung),d941f45e-1244-419c-a083-e4a49fb5498e,Isolierglas 2-Scheiben,0.25,'Gebäudetechnik' / 'Heizung' / 'Wärmeverteilung und Abgabe',Wärmeschutzverglasung,0.535,RC-,RC+,0.5,0.364
e114e6be-30fc-4cce-9e27-d7f8232384cf,Strom-Mix-Szenario 2030,89ffc2cd-fb84-41df-9ebe-cda946ebf2bd,Strohdämmung,0.453,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom',Strohballen,0.274,SV,SV,0.0,0.381
e114e6be-30fc-4cce-9e27-d7f8232384cf,Strom-Mix-Szenario 2030,1da7a0ab-1204-4ee6-b8fe-77a28f642f0d,Brandschutzglas F30,0.37,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom',Brandschutzverglasung,0.325,RC-,RC+,0.5,0.352
e114e6be-30fc-4cce-9e27-d7f8232384cf,Strom-Mix-Szenario 2030,d3b59cac-3b4e-4d18-8c3a-780b553c9591,Porenbeton P4 05 bewehrt,0.323,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom',Porenbeton - bewehrt,0.393,Dep+,RC-,0.75,0.351
dfa64bbb-dc8d-497b-9557-300416b8448f,"Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet",03329c6a-b5f2-47c8-a8db-1bd3b003857c,Pfosten/Riegel aus Aluminium,0.551,'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium thermisch getrennt',Alu-Pfosten-Riegel-Konstr. ungedämmt,0.419,RC+,RC+,1.0,0.498
dfa64bbb-dc8d-497b-9557-300416b8448f,"Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet",a4c1c27c-53a0-4027-83f6-88c52c758bb1,Aluminiumblech,0.562,'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium thermisch getrennt',Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),0.397,RC+,CL+,0.75,0.496
dfa64bbb-dc8d-497b-9557-300416b8448f,"Aluminium-Rahmenprofil, thermisch getrennt, pulverbeschichtet",bd6d6d89-b76d-4002-a217-afffbb8aa308,Aluminium Profil,0.535,'Komponenten von Fenstern und Vorhangfassaden' / 'Rahmen / Profile' / 'Aluminium thermisch getrennt',Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),0.397,RC+,CL+,0.75,0.48
df3ec8a0-012d-49ba-ac07-878cdb764bf6,Hackschnitzelkessel 20 - 120 kW,8041ec07-5885-40dc-bfc9-190013f6749b,Brettschichtholz Nadelholz,0.389,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',"Holz - massiv, naturbelassen",0.338,RC+,CL+,0.75,0.369
df3ec8a0-012d-49ba-ac07-878cdb764bf6,Hackschnitzelkessel 20 - 120 kW,1da7a0ab-1204-4ee6-b8fe-77a28f642f0d,Brandschutzglas F30,0.327,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Brandschutzverglasung,0.416,RC-,RC+,0.5,0.363
df3ec8a0-012d-49ba-ac07-878cdb764bf6,Hackschnitzelkessel 20 - 120 kW,,"Hochlochziegel (hochporosiert), ohne Mörtel / Kleb.",0.321,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Ziegel - HLZ hochporosiert,0.425,SV,RC-,0.75,0.363
