oekobaudatProcessUuid,oekobaudatDatastockUuid,oekobaudatDatastockName,productId,tBaustoffVersion,productName,eolCategoryId,eolCategoryName,eolScenarioUnbuiltReal,eolScenarioUnbuiltPotential,technologyFactor
,,,291,2024-Q4,Stahl Feinblech (20µm bandverzinkt),46,Stahl - Stahl(blech) verzinkt,CL-,CL-,1.0
,,,295,2024-Q4,Stahlprofil verzinkt,46,Stahl - Stahl(blech) verzinkt,CL-,CL-,1.0
,,,80,2024-Q4,Flachsvlies (mit Flammschutzmittel),47,"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0.0
,,,112,2024-Q4,Hanfvlies mit Flammschutzmittel,47,"DS Pflanzenfaser mit Zusatzstoffen (FSM, Bindemittel)",EV-,EV-,0.0
,,,81,2024-Q4,Fliesenkleber,48,"organ. Putz (Fliesenkleber Störstoff, Masse Einstuf. ident zu organ. Putz)",Dep-,Dep-,0.0
,,,86,2024-Q4,Folie aus Polytetrafluorethylen PTFE,49,KSTBahn (Halog),EB,EB,0.0
,,,87,2024-Q4,Folie für Gründach,49,KSTBahn (Halog),EB,EB,0.0
,,,90,2024-Q4,"Getuftete Teppichfliesen (PA 6), LC3",50,Bodenbelag textil 100 % synthetisch,EV-,EV-,0.0
,,,308,2024-Q4,"Textile Fußbodenbeläge mehrschichtiges Nadelvlies (Teppichboden, 1400 g/m²)",50,Bodenbelag textil 100 % synthetisch,EV-,EV-,0.0
,,,92,2024-Q4,Gips-Kalk-Putz auf Gipsbaustoff,52,Gipsputz (auf Massivbaustoff),Dep+,Dep+,0.0
,,,98,2024-Q4,Gipsputz (innen),52,Gipsputz (auf Massivbaustoff),Dep+,Dep+,0.0
,,,147,2024-Q4,Kalk-Gips-Innenputz auf Gipsbaustoff,52,Gipsputz (auf Massivbaustoff),Dep+,Dep+,0.0
,,,93,2024-Q4,Gipskartonplatte (Feuerschutz),53,Gipsplatte,Dep+,CL+,0.75
,,,94,2024-Q4,Gipskartonplatte (imprägniert),53,Gipsplatte,Dep+,CL+,0.75
,,,95,2024-Q4,Gipskartonplatte (Lochplatte),53,Gipsplatte,Dep+,CL+,0.75
,,,99,2024-Q4,Gipswandbauplatte (100 mm),53,Gipsplatte,Dep+,CL+,0.75
,,,320,2024-Q4,Trockenestrich (Gipskartonplatte),53,Gipsplatte,Dep+,CL+,0.75
,,,96,2024-Q4,Gipsfaserplatte,54,Gipsfaser,Dep+,RC-,0.25
,,,319,2024-Q4,Trockenestrich (Gipsfaserplatte),54,Gipsfaser,Dep+,RC-,0.25
,,,100,2024-Q4,Glasbausteine,55,Glasbaustein,Dep+,SV,0.5
,,,104,2024-Q4,Grauguss Bauteil,57,"Stahl - Baustahl (zB Stahlträger,..)",CL+,CL+,1.0
,,,292,2024-Q4,Stahl Schmiedebauteil,57,"Stahl - Baustahl (zB Stahlträger,..)",CL+,CL+,1.0
,,,294,2024-Q4,Stahlprofil,57,"Stahl - Baustahl (zB Stahlträger,..)",CL+,CL+,1.0
,,,105,2024-Q4,Gummi-Bodenbelag mit Schaumstoffbeschichtung EN 1816 (4 mm),58,Elast BB - Gummibelag,EV-,EV-,0.0
,,,106,2024-Q4,"Gummi-Bodenbelag profiliert EN 12199 (3,55 mm)",58,Elast BB - Gummibelag,EV-,EV-,0.0
,,,108,2024-Q4,Gussasphaltestrich,59,Gussasphaltestrich,Dep+,CL+,0.75
,,,109,2024-Q4,Gussteile aus Aluminium,60,Alu Guss,CL+,CL+,1.0
,,,113,2024-Q4,Harnstoff-Formaldehydharz Ortschaum,61,"KSTDämm (Phenol, Melamin,…)",EB,EB,0.0
,,,206,2024-Q4,Melaminharz-Schaum,61,"KSTDämm (Phenol, Melamin,…)",EB,EB,0.0
,,,232,2024-Q4,Phenolharz Hartschaum,61,"KSTDämm (Phenol, Melamin,…)",EB,EB,0.0
,,,118,2024-Q4,"Hochlochziegel organisch gefüllt, ohne Mörtel / Kleb.",66,Ziegel EPS gefüllt,Dep-,RC-,0.75
,,,121,2024-Q4,Holzfaserdämmplatte (Nassverfahren),68,"Holzfaser, Rho<200",EV-,RC-,0.5
,,,129,2024-Q4,Holzwolle-Leichtbauplatte,69,Holzzement,Dep-,SV,0.25
,,,209,2024-Q4,Mineralisch modifizierte Trockenschüttung,69,Holzzement,Dep-,SV,0.25
,,,343,2024-Q4,Zementgebundene Spanplatte,69,Holzzement,Dep-,SV,0.25
,,,130,2024-Q4,HPL-Platte (High pressure Laminate),70,HPL,EV+,EV+,0.0
,,,131,2024-Q4,Hüttensteine,71,Hüttenstein,RC-,RC-,1.0
,,,148,2024-Q4,Kalk-Innenputz,76,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0.0
,,,149,2024-Q4,Kalkputzmörtel,76,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0.0
,,,151,2024-Q4,Kalkzement Putzmörtel,76,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0.0
,,,152,2024-Q4,Kalkzementmörtel,76,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0.0
,,,156,2024-Q4,Kleber für Gipsplatten,76,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0.0
,,,344,2024-Q4,Zementmörtel,76,"mineral. Putz, Mörtel, Kleber",Dep+,Dep+,0.0
,,,150,2024-Q4,Kalksandstein,77,Kalksandstein,SV,RC-,0.75
,,,154,2024-Q4,Kies 2/32,78,Kies / Schotter / Splitt,CL+,CL+,1.0
,,,155,2024-Q4,Kies 2/32 getrocknet,78,Kies / Schotter / Splitt,CL+,CL+,1.0
,,,273,2024-Q4,Schotter 16/32,78,Kies / Schotter / Splitt,CL+,CL+,1.0
,,,274,2024-Q4,Schotter 16/32 (getrocknet),78,Kies / Schotter / Splitt,CL+,CL+,1.0
,,,284,2024-Q4,Splitt 2/15,78,Kies / Schotter / Splitt,CL+,CL+,1.0
,,,285,2024-Q4,Splitt 2/15 (getrocknet),78,Kies / Schotter / Splitt,CL+,CL+,1.0
,,,159,2024-Q4,Korklinoleum Fußbodenbelag,79,Elast BB - Linoleumbelag,EV-,EV-,0.0
,,,199,2024-Q4,Linoleum,79,Elast BB - Linoleumbelag,EV-,EV-,0.0
,,,160,2024-Q4,"Korkplatten 1m² (Dicke 0,004 m)",80,Korkplatten (Korkgranulat mit Bindemittel),EV+,EV+,0.0
,,,161,2024-Q4,"Korkplatten 1m² (Dicke 0,008 m)",80,Korkplatten (Korkgranulat mit Bindemittel),EV+,EV+,0.0
,,,162,2024-Q4,"Korkplatten 1m² (Dicke 0,006 m)",80,Korkplatten (Korkgranulat mit Bindemittel),EV+,EV+,0.0
,,,163,2024-Q4,Kraftpapier (Baupappe),81,Pappe,EV+,EV+,0.0
,,,164,2024-Q4,Kunstharzestrich,82,Estrich SR - Kunstharzestrich,Dep-,Dep-,0.0
,,,165,2024-Q4,Kunstharzputz,83,organ. Putz,Dep-,Dep-,0.0
,,,337,2024-Q4,WDVS Verklebung und Beschichtung Silikonharzputz,83,organ. Putz,Dep-,Dep-,0.0
,,,166,2024-Q4,Kunststeinplatte (Epoxidharz gebunden),84,Kunststein,Dep-,Dep-,0.0
,,,167,2024-Q4,Kunststoffmodifizierte Bitumendickbeschichtung,85,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung, Dichtmassen..",EB,EB,0.0
,,,245,2024-Q4,PUR-Dichtmasse,85,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung, Dichtmassen..",EB,EB,0.0
,,,169,2024-Q4,Kunststoffprofil EPDM,86,KSTProfil,EV-,EV-,0.0
,,,170,2024-Q4,Kunststoffprofil PP mit Glasfaseranteil,86,KSTProfil,EV-,EV-,0.0
,,,171,2024-Q4,Kunststoffprofil SBR,86,KSTProfil,EV-,EV-,0.0
,,,172,2024-Q4,Kunststoffprofil Silikon,86,KSTProfil,EV-,EV-,0.0
,,,173,2024-Q4,"Kunststoffteil aus laminiertem Polyesterharz (GFK, 30% Glasfaseranteil)",86,KSTProfil,EV-,EV-,0.0
,,,174,2024-Q4,Kupferbleche,87,Kupfer,CL+,CL+,1.0
,,,175,2024-Q4,Lacksysteme Holzfassade deckend (Decklacksystem),88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,176,2024-Q4,Lacksysteme Holzfassade halb-pigmentiert (Lasursystem),88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,177,2024-Q4,Lacksysteme Holzfenster Decklack weiß,88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,178,2024-Q4,Lacksysteme Holzfenster Grundierung weiß,88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,179,2024-Q4,Lacksysteme Holzfenster Zwischenbeschichtung deckend weiß,88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,201,2024-Q4,Lösemittellack weiß,88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,221,2024-Q4,"Parkettlack (Grundierung Holz, wasserverdünnt)",88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,222,2024-Q4,Parkettlack transparent,88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,331,2024-Q4,Wasserlack weiß,88,Lacke (auf Holzuntergrund),EV-,EV-,0.0
,,,180,2024-Q4,Laminatboden,89,Laminat,EV-,EV-,0.0
