Specific_UUID,Generic_UUID,Specific_Name,Generic_Name,Final_Score
ab9620bc-6dea-400c-bfd3-a689e806cf69,15d41442-f7d9-46fb-9de4-0c7e68a88f69,Tubular frame door - Hörmann Legnica - Smoke protection door,7.6.01. Sectional garage door,0.734
ab9620bc-6dea-400c-bfd3-a689e806cf69,7f39809a-407d-41cc-b0e7-c7e67faff54b,Tubular frame door - Hörmann Legnica - Smoke protection door,Fire resistant glass F30,0.609
ab9620bc-6dea-400c-bfd3-a689e806cf69,d7bf4202-d1a8-4f3e-8861-c3d78cd2bf70,Tubular frame door - Hörmann Legnica - Smoke protection door,"Insulated glazing, double pane",0.577
dd0edbff-6dec-4598-8051-95e9940366dc,b822aa09-3cb6-49a3-98f6-a3ebf325a70b,Steam-hardened building material - UNIKA GmbH - UNIKA ecobluu plane elements,1.3.02. Plan bricks (filled with polystyrene),0.653
dd0edbff-6dec-4598-8051-95e9940366dc,c92470df-8c3d-4586-904e-53801844edf5,Steam-hardened building material - UNIKA GmbH - UNIKA ecobluu plane elements,Glass bricks,0.642
dd0edbff-6dec-4598-8051-95e9940366dc,bf575960-32e9-47f6-833e-cba96c88dbd2,Steam-hardened building material - UNIKA GmbH - UNIKA ecobluu plane elements,Glass bricks,0.642
369ec7dc-5efa-4738-8a22-c085ff2737de,54f797c3-caa8-47ff-8055-6caef0097d2a,Finger protection systems - athmer oHG - Finger protection roller blind,EPDM sealing for aluminium section,0.567
369ec7dc-5efa-4738-8a22-c085ff2737de,01a66f11-99ef-4fec-b34b-d68a377820ee,Finger protection systems - athmer oHG - Finger protection roller blind,EPDM sealing for aluminium section,0.567
369ec7dc-5efa-4738-8a22-c085ff2737de,6617fe30-11e7-4703-8f37-0fed1ddb593a,Finger protection systems - athmer oHG - Finger protection roller blind,"EPDM sealing for aluminium section, thermally separated",0.551
b86a3de0-e1cf-4812-bb25-0a7c1e1b042d,54f797c3-caa8-47ff-8055-6caef0097d2a,Finger protection systems - athmer oHG - Protective profiles on the hinge side,EPDM sealing for aluminium section,0.597
b86a3de0-e1cf-4812-bb25-0a7c1e1b042d,01a66f11-99ef-4fec-b34b-d68a377820ee,Finger protection systems - athmer oHG - Protective profiles on the hinge side,EPDM sealing for aluminium section,0.597
b86a3de0-e1cf-4812-bb25-0a7c1e1b042d,6617fe30-11e7-4703-8f37-0fed1ddb593a,Finger protection systems - athmer oHG - Protective profiles on the hinge side,"EPDM sealing for aluminium section, thermally separated",0.591
cc4a3242-6d33-449f-8392-18e75e51ec1c,54f797c3-caa8-47ff-8055-6caef0097d2a,Finger protection systems - athmer oHG - Integrated finger protection system,EPDM sealing for aluminium section,0.575
cc4a3242-6d33-449f-8392-18e75e51ec1c,01a66f11-99ef-4fec-b34b-d68a377820ee,Finger protection systems - athmer oHG - Integrated finger protection system,EPDM sealing for aluminium section,0.575
cc4a3242-6d33-449f-8392-18e75e51ec1c,6617fe30-11e7-4703-8f37-0fed1ddb593a,Finger protection systems - athmer oHG - Integrated finger protection system,"EPDM sealing for aluminium section, thermally separated",0.569
8d704158-8c85-49d0-97a6-9a9ea51c3a89,dcf38066-e336-46a7-b0a8-b2453dd2872d,Windows - Sky-Frame AG - Frameless sliding windows Classic powder-coated,"Window glass, single",0.669
8d704158-8c85-49d0-97a6-9a9ea51c3a89,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Windows - Sky-Frame AG - Frameless sliding windows Classic powder-coated,"Window glass, single",0.669
8d704158-8c85-49d0-97a6-9a9ea51c3a89,7f39809a-407d-41cc-b0e7-c7e67faff54b,Windows - Sky-Frame AG - Frameless sliding windows Classic powder-coated,Fire resistant glass F30,0.605
53321062-f8ec-4efb-b2d2-7b12fe83623b,dcf38066-e336-46a7-b0a8-b2453dd2872d,Windows - Sky-Frame AG - Frameless sliding windows Classic anodized,"Window glass, single",0.679
53321062-f8ec-4efb-b2d2-7b12fe83623b,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Windows - Sky-Frame AG - Frameless sliding windows Classic anodized,"Window glass, single",0.679
53321062-f8ec-4efb-b2d2-7b12fe83623b,df5cbb1e-3b07-421b-b7fd-27aa2c38d8b8,Windows - Sky-Frame AG - Frameless sliding windows Classic anodized,Roller shutter,0.609
3abf9075-75d1-4f86-9f22-73256e081f1a,dcf38066-e336-46a7-b0a8-b2453dd2872d,Windows - Sky-Frame AG - Frameless sliding windows Plain powder-coated,"Window glass, single",0.662
3abf9075-75d1-4f86-9f22-73256e081f1a,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Windows - Sky-Frame AG - Frameless sliding windows Plain powder-coated,"Window glass, single",0.662
3abf9075-75d1-4f86-9f22-73256e081f1a,447dea90-8a8f-44f5-9451-3e15ce5fab10,Windows - Sky-Frame AG - Frameless sliding windows Plain powder-coated,Sun protection (metal blinds),0.601
40e9f7ea-9258-4aea-889d-f4acc322f739,dcf38066-e336-46a7-b0a8-b2453dd2872d,Windows - Sky-Frame AG - Frameless sliding windows Plain anodized,"Window glass, single",0.676
40e9f7ea-9258-4aea-889d-f4acc322f739,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Windows - Sky-Frame AG - Frameless sliding windows Plain anodized,"Window glass, single",0.676
40e9f7ea-9258-4aea-889d-f4acc322f739,df5cbb1e-3b07-421b-b7fd-27aa2c38d8b8,Windows - Sky-Frame AG - Frameless sliding windows Plain anodized,Roller shutter,0.613
a2b4475d-baec-4f99-a954-ea3f6c30f209,dcf38066-e336-46a7-b0a8-b2453dd2872d,Transparent building elements - Rodeca GmbH - Light building element 30mm,"Window glass, single",0.644
a2b4475d-baec-4f99-a954-ea3f6c30f209,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Transparent building elements - Rodeca GmbH - Light building element 30mm,"Window glass, single",0.644
a2b4475d-baec-4f99-a954-ea3f6c30f209,447dea90-8a8f-44f5-9451-3e15ce5fab10,Transparent building elements - Rodeca GmbH - Light building element 30mm,Sun protection (metal blinds),0.634
5477ad1a-daf4-4c10-bdee-df1abe849386,dcf38066-e336-46a7-b0a8-b2453dd2872d,Transparent building elements - Rodeca GmbH - Light building element 40mm,"Window glass, single",0.642
5477ad1a-daf4-4c10-bdee-df1abe849386,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Transparent building elements - Rodeca GmbH - Light building element 40mm,"Window glass, single",0.642
5477ad1a-daf4-4c10-bdee-df1abe849386,447dea90-8a8f-44f5-9451-3e15ce5fab10,Transparent building elements - Rodeca GmbH - Light building element 40mm,Sun protection (metal blinds),0.632
49c8eca3-48f1-4875-99bf-525eaf91ac26,dcf38066-e336-46a7-b0a8-b2453dd2872d,Transparent building elements - Rodeca GmbH - Light building element 50mm,"Window glass, single",0.646
49c8eca3-48f1-4875-99bf-525eaf91ac26,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Transparent building elements - Rodeca GmbH - Light building element 50mm,"Window glass, single",0.646
49c8eca3-48f1-4875-99bf-525eaf91ac26,447dea90-8a8f-44f5-9451-3e15ce5fab10,Transparent building elements - Rodeca GmbH - Light building element 50mm,Sun protection (metal blinds),0.624
44843ed7-42ef-4ac9-8be1-12bfeeacfa52,dcf38066-e336-46a7-b0a8-b2453dd2872d,Transparent building elements - Rodeca GmbH - Light building element 60mm,"Window glass, single",0.645
44843ed7-42ef-4ac9-8be1-12bfeeacfa52,3598f7e3-1be1-4a05-9d2e-f41ad4623ced,Transparent building elements - Rodeca GmbH - Light building element 60mm,"Window glass, single",0.645
